mode,buffer_size,iteration,slot,count,total_us,avg_us
synchronous,1024,2,close_hook,1,11110,11110
synchronous,1024,2,exit_hook,1,13811,13811
synchronous,2048,0,compute_tag,8194,81934,9
synchronous,2048,0,vault_save,8194,44580915,5440
synchronous,2048,0,mc_increment,8194,31801336,3881
synchronous,2048,0,commit_now,8194,76713462,9362
synchronous,2048,0,batch_latency,0,0,0
synchronous,2048,0,fsync_hook,8192,76790121,9373
synchronous,2048,0,close_hook,1,9548,9548
synchronous,2048,0,exit_hook,1,11829,11829
synchronous,2048,1,compute_tag,8194,81874,9
synchronous,2048,1,vault_save,8194,47115909,5750
synchronous,2048,1,mc_increment,8194,33146644,4045
synchronous,2048,1,commit_now,8194,80594095,9835
synchronous,2048,1,batch_latency,0,0,0
synchronous,2048,1,fsync_hook,8192,80672892,9847
synchronous,2048,1,close_hook,1,9514,9514
synchronous,2048,1,exit_hook,1,10072,10072
synchronous,2048,2,compute_tag,8194,82489,10
synchronous,2048,2,vault_save,8194,49767178,6073
synchronous,2048,2,mc_increment,8194,34633188,4226
synchronous,2048,2,commit_now,8194,84734112,10340
synchronous,2048,2,batch_latency,0,0,0
synchronous,2048,2,fsync_hook,8192,84812801,10353
synchronous,2048,2,close_hook,1,9128,9128
synchronous,2048,2,exit_hook,1,10959,10959
synchronous,4096,0,compute_tag,4098,41566,10
synchronous,4096,0,vault_save,4098,23873795,5825
synchronous,4096,0,mc_increment,4098,16779133,4094
synchronous,4096,0,commit_now,4098,40819509,9960
synchronous,4096,0,batch_latency,0,0,0
synchronous,4096,0,fsync_hook,4096,40850975,9973
synchronous,4096,0,close_hook,1,8753,8753
synchronous,4096,0,exit_hook,1,10062,10062
synchronous,4096,1,compute_tag,4098,40922,9
synchronous,4096,1,vault_save,4098,22862669,5578
synchronous,4096,1,mc_increment,4098,16339657,3987
synchronous,4096,1,commit_now,4098,39367695,9606
synchronous,4096,1,batch_latency,0,0,0
synchronous,4096,1,fsync_hook,4096,39397768,9618
synchronous,4096,1,close_hook,1,9452,9452
synchronous,4096,1,exit_hook,1,10307,10307
synchronous,4096,2,compute_tag,4098,41528,10
synchronous,4096,2,vault_save,4098,22793619,5562
synchronous,4096,2,mc_increment,4098,16213538,3956
synchronous,4096,2,commit_now,4098,39173364,9559
synchronous,4096,2,batch_latency,0,0,0
synchronous,4096,2,fsync_hook,4096,39201735,9570
synchronous,4096,2,close_hook,1,9706,9706
synchronous,4096,2,exit_hook,1,12253,12253
synchronous,8192,0,compute_tag,2050,20689,10
synchronous,8192,0,vault_save,2050,11578540,5648
synchronous,8192,0,mc_increment,2050,8208864,4004
synchronous,8192,0,commit_now,2050,19870759,9693
synchronous,8192,0,batch_latency,0,0,0
synchronous,8192,0,fsync_hook,2048,19875895,9705
synchronous,8192,0,close_hook,1,9229,9229
synchronous,8192,0,exit_hook,1,11650,11650
synchronous,8192,1,compute_tag,2050,20633,10
synchronous,8192,1,vault_save,2050,11197387,5462
synchronous,8192,1,mc_increment,2050,7967922,3886
synchronous,8192,1,commit_now,2050,19248297,9389
synchronous,8192,1,batch_latency,0,0,0
synchronous,8192,1,fsync_hook,2048,19248203,9398
synchronous,8192,1,close_hook,1,10739,10739
synchronous,8192,1,exit_hook,1,15211,15211
synchronous,8192,2,compute_tag,2050,20474,9
synchronous,8192,2,vault_save,2050,11531665,5625
synchronous,8192,2,mc_increment,2050,8115279,3958
synchronous,8192,2,commit_now,2050,19729937,9624
synchronous,8192,2,batch_latency,0,0,0
synchronous,8192,2,fsync_hook,2048,19735770,9636
synchronous,8192,2,close_hook,1,9491,9491
synchronous,8192,2,exit_hook,1,10449,10449
synchronous,16384,0,compute_tag,1026,10802,10
synchronous,16384,0,vault_save,1026,5786981,5640
synchronous,16384,0,mc_increment,1026,4166358,4060
synchronous,16384,0,commit_now,1026,9995356,9742
synchronous,16384,0,batch_latency,0,0,0
synchronous,16384,0,fsync_hook,1024,9989400,9755
synchronous,16384,0,close_hook,1,8951,8951
synchronous,16384,0,exit_hook,1,10577,10577
synchronous,16384,1,compute_tag,1026,10406,10
synchronous,16384,1,vault_save,1026,5720591,5575
synchronous,16384,1,mc_increment,1026,4015112,3913
synchronous,16384,1,commit_now,1026,9777417,9529
synchronous,16384,1,batch_latency,0,0,0
synchronous,16384,1,fsync_hook,1024,9770352,9541
synchronous,16384,1,close_hook,1,10376,10376
synchronous,16384,1,exit_hook,1,10502,10502
synchronous,16384,2,compute_tag,1026,10505,10
synchronous,16384,2,vault_save,1026,5689983,5545
synchronous,16384,2,mc_increment,1026,3965912,3865
synchronous,16384,2,commit_now,1026,9697676,9451
synchronous,16384,2,batch_latency,0,0,0
synchronous,16384,2,fsync_hook,1024,9690745,9463
synchronous,16384,2,close_hook,1,10179,10179
synchronous,16384,2,exit_hook,1,10672,10672
synchronous,32768,0,compute_tag,514,5320,10
synchronous,32768,0,vault_save,514,2740276,5331
synchronous,32768,0,mc_increment,514,1961319,3815
synchronous,32768,0,commit_now,514,4722466,9187
synchronous,32768,0,batch_latency,0,0,0
synchronous,32768,0,fsync_hook,512,4711462,9202
synchronous,32768,0,close_hook,1,8416,8416
synchronous,32768,0,exit_hook,1,10392,10392
synchronous,32768,1,compute_tag,514,5363,10
synchronous,32768,1,vault_save,514,2870057,5583
synchronous,32768,1,mc_increment,514,2029724,3948
synchronous,32768,1,commit_now,514,4920791,9573
synchronous,32768,1,batch_latency,0,0,0
synchronous,32768,1,fsync_hook,512,4907897,9585
synchronous,32768,1,close_hook,1,9880,9880
synchronous,32768,1,exit_hook,1,11047,11047
synchronous,32768,2,compute_tag,514,5464,10
synchronous,32768,2,vault_save,514,2811077,5469
synchronous,32768,2,mc_increment,514,2080143,4046
synchronous,32768,2,commit_now,514,4912329,9557
synchronous,32768,2,batch_latency,0,0,0
synchronous,32768,2,fsync_hook,512,4900875,9572
synchronous,32768,2,close_hook,1,8677,8677
synchronous,32768,2,exit_hook,1,10493,10493
checker,512,0,compute_tag,11989,52377701,4368
checker,512,0,vault_save,11989,77897955,6497
checker,512,0,mc_increment,11989,95388416,7956
checker,512,0,commit_now,11989,226041732,18854
checker,512,0,batch_latency,11989,399961119,33360
checker,512,0,fsync_hook,32770,277119,8
checker,512,0,close_hook,1,17359,17359
checker,512,0,exit_hook,1,10629,10629
checker,512,1,compute_tag,12096,51591767,4265
checker,512,1,vault_save,12096,75044388,6204
checker,512,1,mc_increment,12096,99922843,8260
checker,512,1,commit_now,12096,226939873,18761
checker,512,1,batch_latency,12096,402560959,33280
checker,512,1,fsync_hook,32770,276543,8
checker,512,1,close_hook,1,22163,22163
checker,512,1,exit_hook,1,16163,16163
checker,512,2,compute_tag,12115,51855286,4280
checker,512,2,vault_save,12115,74912439,6183
checker,512,2,mc_increment,12115,100562174,8300
checker,512,2,commit_now,12115,227712903,18795
checker,512,2,batch_latency,12115,403954612,33343
checker,512,2,fsync_hook,32770,277383,8
checker,512,2,close_hook,1,18572,18572
checker,512,2,exit_hook,1,14310,14310
checker,1024,0,compute_tag,6056,27419866,4527
checker,1024,0,vault_save,6056,37762661,6235
checker,1024,0,mc_increment,6056,46517409,7681
checker,1024,0,commit_now,6056,111889532,18475
checker,1024,0,batch_latency,6056,196503183,32447
checker,1024,0,fsync_hook,16386,138423,8
checker,1024,0,close_hook,1,11039,11039
checker,1024,0,exit_hook,1,10021,10021
checker,1024,1,compute_tag,6048,26556714,4390
checker,1024,1,vault_save,6048,38240272,6322
checker,1024,1,mc_increment,6048,46358487,7665
checker,1024,1,commit_now,6048,111346049,18410
checker,1024,1,batch_latency,6048,196262216,32450
checker,1024,1,fsync_hook,16386,139189,8
checker,1024,1,close_hook,1,18208,18208
checker,1024,1,exit_hook,1,10102,10102
checker,1024,2,compute_tag,6081,27772711,4567
checker,1024,2,vault_save,6081,37566446,6177
checker,1024,2,mc_increment,6081,47883135,7874
checker,1024,2,commit_now,6081,113412836,18650
checker,1024,2,batch_latency,6081,199204340,32758
